Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
1,Disaster Movie,2008,2.1,Jason Friedberg,"Carmen Electra, Vanessa Lachey",91076
2,Manos: The Hands of Fate,1966,2.2,Harold P. Warren,"Tom Neyman, John Reynolds",36223
3,Superbabies: Baby Geniuses 2,2004,2.3,Bob Clark,"Jon Voight, Scott Baio",30989
4,Birdemic: Shock and Terror,2010,2.3,James Nguyen,"Alan Bagh, Whitney Moore",23249
5,The Hottie & the Nottie,2008,2.4,Tom Putnam,"Paris Hilton, Joel David Moore",38224
6,House of the Dead,2003,2.5,Uwe Boll,"Jonathan Cherry, Tyron Leitso",37230
7,Son of the Mask,2005,2.5,Lawrence Guterman,"Jamie Kennedy, Traylor Howard",55923
8,Saving Christmas,2014,2.5,Darren Doane,"Kirk Cameron, Darren Doane",15854
9,Epic Movie,2007,2.5,Jason Friedberg,"Kal Penn, Jennifer Coolidge",105232
10,Battlefield Earth,2000,2.6,Roger Christian,"John Travolta, Forest Whitaker",79894
11,Pledge This!,2006,2.7,William Heins,"Paris Hilton, Simon Rex",18327
12,Alone in the Dark,2005,2.7,Uwe Boll,"Christian Slater, Tara Reid",45501
13,Radhe,2021,2.7,Prabhu Deva,"Salman Khan, Disha Patani",176723
14,Dragonball: Evolution,2009,2.8,James Wong,"Justin Chatwin, James Marsters",73904
15,From Justin to Kelly,2003,2.8,Robert Iscove,"Kelly Clarkson, Justin Guarini",26432
16,Meet the Spartans,2008,2.9,Jason Friedberg,"Sean Maguire, Kevin Sorbo",107578
17,Going Overboard,1989,2.9,Valerie Breiman,"Adam Sandler, Billy Bob Thornton",13549
18,Gigli,2003,2.9,Martin Brest,"Ben Affleck, Jennifer Lopez",48825
19,Turks in Space,2006,2.9,Kartal Tibet,"Cüneyt Arkin, Miraç Bayramoglu",16258
20,Race 3,2018,2.9,Remo D'Souza,"Anil Kapoor, Salman Khan",46120
21,Foodfight!,2012,2.9,Lawrence Kasanoff,"Hilary Duff, Haylie Duff",10845
22,Date Movie,2006,3.0,Aaron Seltzer,"Alyson Hannigan, Adam Campbell",59443
23,Cats,2019,3.0,Tom Hooper,"James Corden, Judi Dench",50167
24,Baby Geniuses,1999,3.0,Bob Clark,"Kathleen Turner, Christopher Lloyd",26473
25,Glitter,2001,3.0,Vondie Curtis-Hall,"Mariah Carey, Eric Benét",23464
26,Daniel the Wizard,2004,3.1,Ulli Lommel,"Daniel Küblböck, Ulli Lommel",14371
27,Jaws: The Revenge,1987,3.2,Joseph Sargent,"Lorraine Gary, Lance Guest",45541
28,Troll 2,1990,3.2,Claudio Fragasso,"Michael Paul Stephenson, George Hardy",32632
29,BloodRayne,2005,3.2,Uwe Boll,"Kristanna Loken, Ben Kingsley",35539
30,Hobgoblins,1988,3.2,Rick Sloane,"Tom Bartlett, Paige Sullivan",12966
31,The Human Centipede III (Final Sequence),2015,3.3,Tom Six,"Dieter Laser, Laurence R. Harvey",16666
32,Left Behind,2014,3.3,Vic Armstrong,"Nicolas Cage, Lea Thompson",39653
33,Cosmic Sin,2021,3.3,Edward Drake,"Frank Grillo, Bruce Willis",12356
34,365 Days,2020,3.4,Barbara Bialowas,"Anna-Maria Sieklucka, Michele Morrone",82047
35,Who's Your Caddy?,2007,3.4,Don Michael Paul,"Big Boi, Jeffrey Jones",15034
36,Jack and Jill,2011,3.4,Dennis Dugan,"Adam Sandler, Katie Holmes",83883
37,Rollerball,2002,3.4,John McTiernan,"Chris Klein, Jean Reno",28197
38,Catwoman,2004,3.5,Pitof,"Halle Berry, Sharon Stone",118454
39,Kazaam,1996,3.5,Paul Michael Glaser,"Shaquille O'Neal, Francis Capra",24359
40,Santa Claus Conquers the Martians,1964,3.5,Nicholas Webster,"John Call, Leonard Hicks",11748
41,Slender Man,2018,3.5,Sylvain White,"Joey King, Julia Goldani Telles",33503
42,Enes Batur,2018,3.5,Kamil Cetin,"Enes Batur, Bilal Hanci",55106
43,The Emoji Movie,2017,3.5,Tony Leondis,"T.J. Miller, James Corden",63101
44,Vampires Suck,2010,3.5,Jason Friedberg,"Jenn Proske, Matt Lanter",48727
45,The Cost of Deception,2021,3.6,Keith English,"Vivianne Bánovits, András Mózes",37869
46,Steel,1997,3.6,Kenneth Johnson,"Shaquille O'Neal, Annabeth Gish",13924
47,The Starving Games,2013,3.6,Jason Friedberg,"Maiara Walsh, Brant Daugherty",20549
48,The Open House,2018,3.6,Matt Angel,"Dylan Minnette, Piercey Dalton",34121
49,365 Days: This Day,2022,3.6,Barbara Bialowas,"Anna-Maria Sieklucka, Michele Morrone",14196
50,Scary Movie 5,2013,3.6,Malcolm D. Lee,"Simon Rex, Ashley Tisdale",70948
51,Tees Maar Khan,2010,3.6,Farah Khan,"Akshay Kumar, Katrina Kaif",12742
52,Dumb and Dumberer: When Harry Met Lloyd,2003,3.6,Troy Miller,"Derek Richardson, Eric Christian Olsen",39648
53,The Return of the Texas Chainsaw Massacre,1994,3.6,Kim Henkel,"Renée Zellweger, Matthew McConaughey",22938
54,The Room,2003,3.6,Tommy Wiseau,"Tommy Wiseau, Juliette Danielle",88363
55,Gunday,2014,3.7,Ali Abbas Zafar,"Ranveer Singh, Arjun Kapoor",58986
56,Bratz,2007,3.7,Sean McNamara,"Skyler Shaye, Janel Parrish",23665
57,The Master of Disguise,2002,3.7,Perry Andelin Blake,"Dana Carvey, Jennifer Esposito",25129
58,Police Academy: Mission to Moscow,1994,3.7,Alan Metter,"G.W. Bailey, George Gaynes",33808
59,Student of the Year 2,2019,3.7,Punit Malhotra,"Tiger Shroff, Ananya Panday",21429
60,Daddy Day Camp,2007,3.7,Fred Savage,"Cuba Gooding Jr., Lochlyn Munro",16754
61,Hercules in New York,1970,3.7,Arthur Allan Seidelman,"Arnold Stang, Arnold Schwarzenegger",18283
62,Barb Wire,1996,3.7,David Hogan,"Pamela Anderson, Amir AboulEla",28798
63,Laxmii,2020,3.7,Lawrence Raghavendra,"Akshay Kumar, Kiara Advani",56830
64,Far Cry,2008,3.7,Uwe Boll,"Til Schweiger, Emmanuelle Vaugier",14030
65,Mortal Kombat: Annihilation,1997,3.7,John R. Leonetti,"Robin Shou, Talisa Soto",54350
66,Anti-Life,2020,3.7,John Suits,"Cody Kearsley, Bruce Willis",17823
67,3 Ninjas: High Noon at Mega Mountain,1998,3.8,Sean McNamara,"Loni Anderson, Hulk Hogan",12785
68,Feardotcom,2002,3.8,William Malone,"Stephen Dorff, Natascha McElhone",21457
69,Batman & Robin,1997,3.8,Joel Schumacher,"Arnold Schwarzenegger, George Clooney",250529
70,Crossroads,2002,3.8,Tamra Davis,"Britney Spears, Anson Mount",40087
71,Spice World,1997,3.8,Bob Spiers,"Mel B, Emma Bunton",35810
72,Fifty Shades of Black,2016,3.8,Michael Tiddes,"Marlon Wayans, Kali Hawk",21436
73,Neverending Story III: Return to Fantasia,1994,3.8,Peter MacDonald,"Jason James Richter, Melody Kay",12589
74,Spy Kids 4: All the Time in the World,2011,3.8,Robert Rodriguez,"Jessica Alba, Jeremy Piven",25235
75,Jaws 3,1983,3.8,Joe Alves,"Dennis Quaid, Bess Armstrong",43597
76,Superman IV: The Quest for Peace,1987,3.8,Sidney J. Furie,"Christopher Reeve, Gene Hackman",48289
77,Captain America,1990,3.8,Albert Pyun,"Matt Salinger, Ronny Cox",13956
78,Black Christmas,2019,3.8,Sophia Takal,"Imogen Poots, Aleyse Shannon",16172
79,The Wicker Man,2006,3.9,Neil LaBute,"Nicolas Cage, Ellen Burstyn",67589
80,The Adventures of Sharkboy and Lavagirl 3-D,2005,3.9,Robert Rodriguez,"Cayden Boyd, George Lopez",37378
81,The Fog,2005,3.9,Rupert Wainwright,"Tom Welling, Maggie Grace",36924
82,Mac and Me,1988,3.9,Stewart Raffill,"Christine Ebersole, Jonathan Ward",14722
83,Dungeons & Dragons,2000,3.9,Courtney Solomon,"Justin Whalin, Jeremy Irons",33350
84,Dragon Wars,2007,3.9,Hyung-rae Shim,"Jason Behr, Amanda Brooks",24451
85,Bucky Larson: Born to Be a Star,2011,3.9,Tom Brady,"Nick Swardson, Don Johnson",12004
86,Smolensk,2016,3.9,Antoni Krauze,"Beata Fido, Maciej Póltorak",39636
87,I Know Who Killed Me,2007,3.9,Chris Sivertson,"Lindsay Lohan, Julia Ormond",29619
88,Piranha 3DD,2012,3.9,John Gulager,"Danielle Panabaker, Ving Rhames",42320
89,The Love Guru,2008,3.9,Marco Schnabel,"Mike Myers, Jessica Alba",52615
90,In the Name of the King: A Dungeon Siege Tale,2007,3.9,Uwe Boll,"Jason Statham, Ron Perlman",48927
91,The Flintstones in Viva Rock Vegas,2000,3.9,Brian Levant,"Mark Addy, Stephen Baldwin",23536
92,The Avengers,1998,4.0,Jeremiah S. Chechik,"Ralph Fiennes, Uma Thurman",43704
93,Baaghi 3,2020,4.0,Ahmed Khan,"Tiger Shroff, Riteish Deshmukh",12256
