Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
1,The Shawshank Redemption,1994,9.3,Frank Darabont,"Tim Robbins, Morgan Freeman",2592177
2,The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino",1787460
3,The Dark Knight,2008,9.0,Christopher Nolan,"Christian Bale, Heath Ledger",2563022
4,The Godfather: Part II,1974,9.0,Francis Ford Coppola,"Al Pacino, Robert De Niro",1233444
5,12 Angry Men,1957,9.0,Sidney Lumet,"Henry Fonda, Lee J. Cobb",765748
6,Schindler's List,1993,9.0,Steven Spielberg,"Liam Neeson, Ralph Fiennes",1318922
7,The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson,"Elijah Wood, Viggo Mortensen",1780907
8,Pulp Fiction,1994,8.9,Quentin Tarantino,"John Travolta, Uma Thurman",1987616
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,"Elijah Wood, Ian McKellen",1802099
10,Forrest Gump,1994,8.8,Robert Zemeckis,"Tom Hanks, Robin Wright",2000890
11,Fight Club,1999,8.8,David Fincher,"Brad Pitt, Edward Norton",2040858
12,Inception,2010,8.8,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",2274488
13,The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson,"Elijah Wood, Ian McKellen",1608440
14,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,"Mark Hamill, Harrison Ford",1253539
15,The Matrix,1999,8.7,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",1862120
16,Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta",1118972
17,One Flew Over the Cuckoo's Nest,1975,8.7,Milos Forman,"Jack Nicholson, Louise Fletcher",984936
18,It's a Wonderful Life,1946,8.6,Frank Capra,"James Stewart, Donna Reed",445649
19,Seven,1995,8.6,David Fincher,"Morgan Freeman, Brad Pitt",1590740
20,The Silence of the Lambs,1991,8.6,Jonathan Demme,"Jodie Foster, Anthony Hopkins",1387841
21,Saving Private Ryan,1998,8.6,Steven Spielberg,"Tom Hanks, Matt Damon",1349388
22,Top Gun: Maverick,2022,8.6,Joseph Kosinski,"Tom Cruise, Jennifer Connelly",53605
23,Interstellar,2014,8.6,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",1734903
24,The Green Mile,1999,8.6,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",1260136
25,Star Wars,1977,8.6,George Lucas,"Mark Hamill, Harrison Ford",1325101
26,Terminator 2: Judgment Day,1991,8.6,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",1070065
27,Back to the Future,1985,8.5,Robert Zemeckis,"Michael J. Fox, Christopher Lloyd",1163037
28,The Pianist,2002,8.5,Roman Polanski,"Adrien Brody, Thomas Kretschmann",806731
29,Psycho,1960,8.5,Alfred Hitchcock,"Anthony Perkins, Janet Leigh",654387
30,Leon,1994,8.5,Luc Besson,"Jean Reno, Gary Oldman",1128574
31,The Lion King,1994,8.5,Roger Allers,"Matthew Broderick, Jeremy Irons",1026543
32,Gladiator,2000,8.5,Ridley Scott,"Russell Crowe, Joaquin Phoenix",1456779
33,American History X,1998,8.5,Tony Kaye,"Edward Norton, Edward Furlong",1097967
34,The Usual Suspects,1995,8.5,Bryan Singer,"Kevin Spacey, Gabriel Byrne",1062233
35,The Departed,2006,8.5,Martin Scorsese,"Leonardo DiCaprio, Matt Damon",1288555
36,Modern Times,1936,8.5,Charles Chaplin,"Charles Chaplin, Paulette Goddard",237723
37,The Prestige,2006,8.5,Christopher Nolan,"Christian Bale, Hugh Jackman",1296063
38,Casablanca,1942,8.5,Michael Curtiz,"Humphrey Bogart, Ingrid Bergman",560333
39,Whiplash,2014,8.5,Damien Chazelle,"Miles Teller, J.K. Simmons",811127
40,Rear Window,1954,8.5,Alfred Hitchcock,"James Stewart, Grace Kelly",481335
41,Alien,1979,8.5,Ridley Scott,"Sigourney Weaver, Tom Skerritt",855449
42,Apocalypse Now,1979,8.4,Francis Ford Coppola,"Martin Sheen, Marlon Brando",652194
43,Memento,2000,8.4,Christopher Nolan,"Guy Pearce, Carrie-Anne Moss",1208925
44,Raiders of the Lost Ark,1981,8.4,Steven Spielberg,"Harrison Ford, Karen Allen",944938
45,Django Unchained,2012,8.4,Quentin Tarantino,"Jamie Foxx, Christoph Waltz",1498451
46,Sunset Blvd.,1950,8.4,Billy Wilder,"William Holden, Gloria Swanson",217975
47,WALL·E,2008,8.4,Andrew Stanton,"Ben Burtt, Elissa Knight",1085896
48,Witness for the Prosecution,1957,8.4,Billy Wilder,"Tyrone Power, Marlene Dietrich",122396
49,Paths of Glory,1957,8.4,Stanley Kubrick,"Kirk Douglas, Ralph Meeker",193732
50,The Great Dictator,1940,8.4,Charles Chaplin,"Charles Chaplin, Paulette Goddard",220472
51,Avengers: Infinity War,2018,8.4,Anthony Russo,"Robert Downey Jr., Chris Hemsworth",1018420
52,The Shining,1980,8.4,Stanley Kubrick,"Jack Nicholson, Shelley Duvall",987305
53,Everything Everywhere All at Once,2022,8.4,Dan Kwan,"Michelle Yeoh, Stephanie Hsu",85219
54,Aliens,1986,8.4,James Cameron,"Sigourney Weaver, Michael Biehn",700655
55,The Dark Knight Rises,2012,8.4,Christopher Nolan,"Christian Bale, Tom Hardy",1655994
56,Spider-Man: Into the Spider-Verse,2018,8.4,Bob Persichetti,"Shameik Moore, Jake Johnson",492650
57,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,Stanley Kubrick,"Peter Sellers, George C. Scott",481048
