Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
1,The Shawshank Redemption,1994,9.2,Frank Darabont,"Tim Robbins, Morgan Freeman",2592177
2,The Godfather,1972,9.2,Francis Ford Coppola,"Marlon Brando, Al Pacino",1787460
3,The Dark Knight,2008,9.0,Christopher Nolan,"Christian Bale, Heath Ledger",2563022
4,The Godfather: Part II,1974,9.0,Francis Ford Coppola,"Al Pacino, Robert De Niro",1233444
5,12 Angry Men,1957,8.9,Sidney Lumet,"Henry Fonda, Lee J. Cobb",765748
6,Schindler's List,1993,8.9,Steven Spielberg,"Liam Neeson, Ralph Fiennes",1318922
7,The Lord of the Rings: The Return of the King,2003,8.9,Peter Jackson,"Elijah Wood, Viggo Mortensen",1780907
8,Pulp Fiction,1994,8.9,Quentin Tarantino,"John Travolta, Uma Thurman",1987616
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,Peter Jackson,"Elijah Wood, Ian McKellen",1802099
10,"The Good, the Bad and the Ugly",1966,8.8,Sergio Leone,"Clint Eastwood, Eli Wallach",743932
11,Forrest Gump,1994,8.8,Robert Zemeckis,"Tom Hanks, Robin Wright",2000890
12,Fight Club,1999,8.8,David Fincher,"Brad Pitt, Edward Norton",2040858
13,Inception,2010,8.7,Christopher Nolan,"Leonardo DiCaprio, Joseph Gordon-Levitt",2274488
14,The Lord of the Rings: The Two Towers,2002,8.7,Peter Jackson,"Elijah Wood, Ian McKellen",1608440
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,Irvin Kershner,"Mark Hamill, Harrison Ford",1253539
16,The Matrix,1999,8.7,Lana Wachowski,"Keanu Reeves, Laurence Fishburne",1862120
17,Goodfellas,1990,8.7,Martin Scorsese,"Robert De Niro, Ray Liotta",1118972
18,One Flew Over the Cuckoo's Nest,1975,8.6,Milos Forman,"Jack Nicholson, Louise Fletcher",984936
19,Seven,1995,8.6,David Fincher,"Morgan Freeman, Brad Pitt",1590740
20,Seven Samurai,1954,8.6,Akira Kurosawa,"Toshirô Mifune, Takashi Shimura",339617
21,It's a Wonderful Life,1946,8.6,Frank Capra,"James Stewart, Donna Reed",445649
22,The Silence of the Lambs,1991,8.6,Jonathan Demme,"Jodie Foster, Anthony Hopkins",1387841
23,City of God,2002,8.6,Fernando Meirelles,"Alexandre Rodrigues, Leandro Firmino",742209
24,Saving Private Ryan,1998,8.6,Steven Spielberg,"Tom Hanks, Matt Damon",1349388
25,Life Is Beautiful,1997,8.6,Roberto Benigni,"Roberto Benigni, Nicoletta Braschi",677731
26,The Green Mile,1999,8.6,Frank Darabont,"Tom Hanks, Michael Clarke Duncan",1260136
27,Interstellar,2014,8.6,Christopher Nolan,"Matthew McConaughey, Anne Hathaway",1734903
