Rank,Title,Year,Rating,Actors,Number of User Ratings
1,Planet Earth II,2016,9.4,"David Attenborough, Chadden Hunter",132463
2,Breaking Bad,2008,9.4,"Bryan Cranston, Aaron Paul",1738809
3,Planet Earth,2006,9.4,"Sigourney Weaver, David Attenborough",199038
4,Band of Brothers,2001,9.4,"Scott Grimes, Damian Lewis",444422
5,Chernobyl,2019,9.3,"Jessie Buckley, Jared Harris",700005
6,The Wire,2002,9.3,"Dominic West, Lance Reddick",326317
7,Blue Planet II,2017,9.2,"David Attenborough, Peter Drost",39712
8,Avatar: The Last Airbender,2005,9.2,"Dee Bradley Baker, Zach Tyler Eisen",298720
9,Cosmos,2014,9.2,"Neil deGrasse Tyson, Christopher Emerson",119735
10,The Sopranos,1999,9.2,"James Gandolfini, Lorraine Bracco",373971
11,Cosmos,1980,9.2,"Carl Sagan, Jaromír Hanzlík",40396
12,Our Planet,2019,9.2,David Attenborough,41761
13,Game of Thrones,2011,9.2,"Emilia Clarke, Peter Dinklage",1989689
14,Rick and Morty,2013,9.1,"Justin Roiland, Chris Parnell",476575
15,The World at War,1973,9.1,"Laurence Olivier, Albert Speer",25191
16,Fullmetal Alchemist: Brotherhood,2009,9.1,"Kent Williams, Iemasa Kayumi",157478
17,The Last Dance,2020,9.0,"Michael Jordan, Phil Jackson",112139
18,Life,2009,9.0,"Oprah Winfrey, David Attenborough",40544
19,Sherlock,2010,9.0,"Benedict Cumberbatch, Martin Freeman",894170
20,The Twilight Zone,1959,9.0,"Rod Serling, Robert McCord",80868
21,The Vietnam War,2017,9.0,"Peter Coyote, Huy Duc",23989
22,Batman: The Animated Series,1992,9.0,"Kevin Conroy, Loren Lester",100109
23,Scam 1992: The Harshad Mehta Story,2020,9.0,"Pratik Gandhi, Shreya Dhanwanthary",139463
24,Arcane,2021,8.9,"Hailee Steinfeld, Kevin Alejandro",178329
25,The Blue Planet,2001,8.9,"David Attenborough, Pierce Brosnan",38818
26,Firefly,2002,8.9,"Nathan Fillion, Gina Torres",260316
27,Human Planet,2011,8.9,"John Hurt, Roger Munns",26008
28,The Office,2005,8.9,"Steve Carell, Jenna Fischer",545123
29,Attack on Titan,2013,8.9,"Josh Grelle, Yûki Kaji",347426
30,Frozen Planet,2011,8.9,"David Attenborough, Alec Baldwin",30027
31,Death Note,2006,8.9,"Mamoru Miyano, Brad Swaile",303691
32,The Beatles: Get Back,2021,8.9,"The Beatles, John Lennon",19825
33,True Detective,2014,8.9,"Vince Vaughn, Colin Farrell",548105
34,Only Fools and Horses,1981,8.9,"David Jason, Nicholas Lyndhurst",50624
35,The American Civil War,1990,8.9,"David McCullough, Sam Waterston",16117
36,Seinfeld,1989,8.9,"Jerry Seinfeld, Julia Louis-Dreyfus",304014
37,Hunter x Hunter,2011,8.9,"Issei Futamata, Megumi Han",88830
